=== Object Detection Log ===
[2025-12-08 18:03:08] Frame 00059 | DETECT=True | HOLD=True(20) | x=20,y=72,w=326,h=395 | area%=47.99 | elong=1.21 | fill=0.58 | elapsed=2.1ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:08] Frame 00060 | DETECT=True | HOLD=True(20) | x=20,y=72,w=343,h=395 | area%=52.53 | elong=1.15 | fill=0.60 | elapsed=5.1ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:08] Frame 00061 | DETECT=True | HOLD=True(20) | x=20,y=72,w=395,h=395 | area%=69.85 | elong=1.00 | fill=0.70 | elapsed=4.8ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:08] Frame 00062 | DETECT=True | HOLD=True(20) | x=20,y=72,w=429,h=395 | area%=77.83 | elong=1.09 | fill=0.71 | elapsed=3.0ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:08] Frame 00063 | DETECT=True | HOLD=True(20) | x=20,y=72,w=448,h=395 | area%=78.45 | elong=1.13 | fill=0.69 | elapsed=1.5ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:08] Frame 00064 | DETECT=True | HOLD=True(20) | x=20,y=72,w=433,h=395 | area%=74.47 | elong=1.10 | fill=0.68 | elapsed=2.0ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:08] Frame 00065 | DETECT=True | HOLD=True(20) | x=20,y=72,w=424,h=395 | area%=72.80 | elong=1.07 | fill=0.68 | elapsed=0.0ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:08] Frame 00066 | DETECT=True | HOLD=True(20) | x=20,y=72,w=424,h=395 | area%=72.80 | elong=1.07 | fill=0.68 | elapsed=4.2ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:08] Frame 00067 | DETECT=True | HOLD=True(20) | x=20,y=72,w=413,h=395 | area%=71.38 | elong=1.05 | fill=0.68 | elapsed=3.1ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:08] Frame 00068 | DETECT=True | HOLD=True(20) | x=20,y=72,w=411,h=395 | area%=68.92 | elong=1.04 | fill=0.66 | elapsed=4.4ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:08] Frame 00069 | DETECT=True | HOLD=True(20) | x=20,y=72,w=391,h=395 | area%=63.56 | elong=1.01 | fill=0.64 | elapsed=0.8ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:09] Frame 00070 | DETECT=True | HOLD=True(20) | x=20,y=72,w=356,h=395 | area%=53.43 | elong=1.11 | fill=0.59 | elapsed=3.5ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:09] Frame 00071 | DETECT=True | HOLD=True(20) | x=20,y=72,w=299,h=395 | area%=34.76 | elong=1.32 | fill=0.46 | elapsed=5.1ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:09] Frame 00072 | DETECT=False | HOLD=True(19) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=26.6ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:09] Frame 00073 | DETECT=False | HOLD=True(18) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=2.1ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:09] Frame 00074 | DETECT=False | HOLD=True(17) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=3.6ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:09] Frame 00075 | DETECT=False | HOLD=True(16) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=4.0ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:09] Frame 00076 | DETECT=False | HOLD=True(15) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=2.0ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:09] Frame 00077 | DETECT=False | HOLD=True(14) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=5.2ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:09] Frame 00078 | DETECT=False | HOLD=True(13) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=0.0ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:09] Frame 00079 | DETECT=False | HOLD=True(12) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=0.0ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:09] Frame 00080 | DETECT=False | HOLD=True(11) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=0.0ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:09] Frame 00081 | DETECT=False | HOLD=True(10) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=3.5ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:09] Frame 00082 | DETECT=False | HOLD=True(9) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=4.6ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:09] Frame 00083 | DETECT=False | HOLD=True(8) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=3.9ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:09] Frame 00084 | DETECT=False | HOLD=True(7) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=0.0ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:09] Frame 00085 | DETECT=False | HOLD=True(6) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=4.3ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:09] Frame 00086 | DETECT=False | HOLD=True(5) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=3.9ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:09] Frame 00087 | DETECT=False | HOLD=True(4) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=7.9ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:09] Frame 00088 | DETECT=False | HOLD=True(3) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=0.0ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:09] Frame 00089 | DETECT=False | HOLD=True(2) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=5.0ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:09] Frame 00090 | DETECT=False | HOLD=True(1) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=0.0ms | angle: None | Angle_log: None | Turn: 
[2025-12-08 18:03:09] Frame 00091 | DETECT=False | HOLD=False(0) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=0.0ms | angle: None | Angle_log: <LOG> max_angle: 178.99998474121094 min_angle: 0.6666666269302368 taken_angle: None | Turn: 
[2025-12-08 18:03:09] Frame 00092 | DETECT=False | HOLD=False(0) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=0.0ms | angle: None | Angle_log: <LOG> max_angle: 178.99998474121094 min_angle: 0.4999999701976776 taken_angle: None | Turn: 
[2025-12-08 18:03:09] Frame 00093 | DETECT=False | HOLD=False(0) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=3.7ms | angle: None | Angle_log: <LOG> max_angle: 178.99998474121094 min_angle: 0.6666666269302368 taken_angle: None | Turn: 
[2025-12-08 18:03:09] Frame 00094 | DETECT=False | HOLD=False(0) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=0.0ms | angle: None | Angle_log: <LOG> max_angle: 178.99998474121094 min_angle: 0.6666666269302368 taken_angle: None | Turn: 
[2025-12-08 18:03:09] Frame 00095 | DETECT=False | HOLD=False(0) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=3.9ms | angle: None | Angle_log: <LOG> max_angle: 178.99998474121094 min_angle: 0.6666666269302368 taken_angle: None | Turn: 
[2025-12-08 18:03:09] Frame 00096 | DETECT=False | HOLD=False(0) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=0.0ms | angle: None | Angle_log: <LOG> max_angle: 178.99998474121094 min_angle: 0.6666666269302368 taken_angle: None | Turn: 
[2025-12-08 18:03:09] Frame 00097 | DETECT=False | HOLD=False(0) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=0.0ms | angle: None | Angle_log: <LOG> max_angle: 178.99998474121094 min_angle: 0.4999999701976776 taken_angle: None | Turn: 
[2025-12-08 18:03:09] Frame 00098 | DETECT=False | HOLD=False(0) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=3.2ms | angle: None | Angle_log: <LOG> max_angle: 178.99998474121094 min_angle: 0.4999999701976776 taken_angle: None | Turn: 
[2025-12-08 18:03:09] Frame 00099 | DETECT=False | HOLD=False(0) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=3.0ms | angle: None | Angle_log: <LOG> max_angle: 178.99998474121094 min_angle: 0.6666666269302368 taken_angle: None | Turn: 
[2025-12-08 18:03:10] Frame 00100 | DETECT=False | HOLD=False(0) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=4.1ms | angle: None | Angle_log: <LOG> max_angle: 178.99998474121094 min_angle: 0.75 taken_angle: None | Turn: 
[2025-12-08 18:03:10] Frame 00101 | DETECT=False | HOLD=False(0) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=3.4ms | angle: None | Angle_log: <LOG> max_angle: 178.99998474121094 min_angle: 0.6666666269302368 taken_angle: None | Turn: 
[2025-12-08 18:03:10] Frame 00102 | DETECT=False | HOLD=False(0) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=5.0ms | angle: None | Angle_log: <LOG> max_angle: 178.99998474121094 min_angle: 0.6666666269302368 taken_angle: None | Turn: 
[2025-12-08 18:03:10] Frame 00103 | DETECT=False | HOLD=False(0) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=3.1ms | angle: None | Angle_log: <LOG> max_angle: 178.99996948242188 min_angle: 0.75 taken_angle: None | Turn: 
[2025-12-08 18:03:10] Frame 00104 | DETECT=False | HOLD=False(0) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=4.7ms | angle: None | Angle_log: <LOG> max_angle: 178.99998474121094 min_angle: 0.4999999701976776 taken_angle: None | Turn: 
[2025-12-08 18:03:10] Frame 00105 | DETECT=False | HOLD=False(0) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=6.9ms | angle: None | Angle_log: <LOG> max_angle: 178.99998474121094 min_angle: 0.6666666269302368 taken_angle: None | Turn: 
[2025-12-08 18:03:10] Frame 00106 | DETECT=False | HOLD=False(0) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=5.3ms | angle: None | Angle_log: <LOG> max_angle: 178.99998474121094 min_angle: 0.6666666269302368 taken_angle: None | Turn: 
[2025-12-08 18:03:10] Frame 00107 | DETECT=False | HOLD=False(0) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=0.0ms | angle: None | Angle_log: <LOG> max_angle: 178.99998474121094 min_angle: 0.6666666269302368 taken_angle: None | Turn: 
[2025-12-08 18:03:10] Frame 00108 | DETECT=False | HOLD=False(0) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=0.0ms | angle: None | Angle_log: <LOG> max_angle: 178.99996948242188 min_angle: 0.6666666269302368 taken_angle: None | Turn: 
[2025-12-08 18:03:10] Frame 00109 | DETECT=False | HOLD=False(0) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=3.7ms | angle: None | Angle_log: <LOG> max_angle: 178.66665649414062 min_angle: 0.6666666269302368 taken_angle: None | Turn: 
